ATA_System	Compon_Code	Last_Change_Date	Compon_Name	Seg_Code	Seg_Suff	Severity_Factor
1100	    	06/28/1991	PLACARDS AND MARKINGS         	1	1	1
1210	    	06/28/1991	FUEL SERVICING                	1	1	1
1220	    	06/28/1991	OIL SERVICING                 	1	1	1
1230	    	06/28/1991	HYDRAULIC FLUID SERVICING     	1	1	1
1240	    	06/28/1991	COOLANT SERVICING             	1	1	1
1400	    	04/19/2001	MISC HARDWARE                 	1	1	2
1410	    	04/19/2001	HOSES AND TUBES               	1	1	2
1420	    	04/19/2001	ELECTRICAL CONNECTORS         	1	1	2
1430	    	04/19/2001	FASTNERS                      	1	1	2
1497	    	04/19/2001	MISC WIRING                   	1	1	1
1800	    	06/28/1991	HELICOPTER VIB/NOISE ANALYSIS 	1	1	4
1810	    	06/28/1991	HELICOPTER VIBRATION ANALYSIS 	1	1	4
1820	    	06/28/1991	HELICOPTER NOISE ANALYSIS     	1	1	4
1897	    	04/19/2001	HELI VIBRATION SYS WIRING     	1	1	2
2100	    	06/28/1991	AIR CONDITIONING SYTEM        	1	1	1
2110	    	06/28/1991	COMPRESSOR SYSTEM             	1	1	1
2120	    	06/28/1991	AIR DISTRIBUTION SYSTEM       	1	1	1
2121	    	06/28/1991	AIR DISTRIBUTION FAN          	1	1	1
2130	    	06/28/1991	PRESSURIZATION CONTROL SYSTEM 	1	1	1
2131	    	06/28/1991	PRESSURE CONTROLLER           	1	1	1
2132	    	06/28/1991	PRESSURE INDICATOR            	1	1	1
2133	    	06/28/1991	REGULATOR-OUTFLOW VALVE       	1	1	1
2134	    	06/28/1991	PRESSURE SENSOR               	1	1	1
2140	    	06/28/1991	HEATING SYSTEM                	1	1	1
2150	    	06/28/1991	COOLING SYS (AIR/VAPOR CYCLE) 	1	1	1
2160	    	06/28/1991	TEMPERATURE CONTROL SYSTEM    	1	1	1
2161	    	06/28/1991	TEMPERATURE CONTROLLER        	1	1	1
2162	    	06/28/1991	CABIN TEMPERATURE INDICATOR   	1	1	1
2163	    	06/28/1991	CABIN TEMPERATURE SENSOR      	1	1	1
2170	    	06/28/1991	HUMIDITY CONTROL SYSTEM       	1	1	1
2197	    	04/19/2001	AIR COND SYS WIRING           	1	1	1
2200	    	06/28/1991	AUTO FLIGHT SYSTEM            	4	1	1
2210	    	06/28/1991	AUTOPILOT SYSTEM              	4	1	1
2211	    	06/28/1991	AUTOPILOT COMPUTER            	4	4	1
2212	    	06/28/1991	ALTITUDE CONTROLLER           	4	5	1
2213	    	06/28/1991	FLIGHT CONTROLLER             	4	5	1
2214	    	06/28/1991	AUTOPILOT TRIM INDICATOR      	4	5	1
2215	    	06/28/1991	AUTOPILOT MAIN SERVO          	4	5	1
2216	    	06/28/1991	AUTOPILOT TRIM SERVO          	4	5	1
2220	    	06/28/1991	SPEED-ATTITUDE CORRECTION SYS 	4	4	1
2230	    	06/28/1991	AUTO THROTTLE SYSTEM          	4	1	1
2250	    	06/28/1991	AERODYNAMIC LOAD ALLEVIATING  	4	1	1
2297	    	04/19/2001	AUTOFLIGHT SYS WIRING         	4	4	1
2300	    	06/28/1991	COMMUNICATIONS SYSTEM         	4	5	1
2310	    	06/28/1991	HF COMMUNICATION SYSTEM       	4	5	1
2311	    	06/28/1991	UHF COMMUNICATION SYSTEM      	4	5	1
2312	    	06/28/1991	VHF COMMUNICATION SYSTEM      	4	5	1
2315	    	12/09/2009	SATELLITE COMMUNICATION       	4	5	1
2320	    	06/28/1991	DATA TRANSMISSION AUTO CALL   	4	4	1
2330	    	06/28/1991	PA & ENTERTAINMENT SYSTEM     	4	5	1
2340	    	06/28/1991	INTERPHONE                    	4	5	1
2350	    	06/28/1991	AUDIO INTEGRATING             	4	5	1
2360	    	06/28/1991	STATIC DISCHARGE SYSTEM       	4	1	1
2370	    	06/28/1991	AUDIO & VIDEO MONITORING      	4	5	1
2397	    	04/19/2001	COMM SYS WIRING               	4	5	1
2400	    	06/28/1991	ELECTRICAL POWER SYSTEM       	1	1	1
2410	    	06/28/1991	ALTERNATOR-GENERATOR DRIVE SYS	1	1	1
2420	    	06/28/1991	AC GENERATION SYSTEM          	1	1	2
2421	    	06/28/1991	AC GENERATOR-ALTERNATOR       	1	1	2
2422	    	06/28/1991	AC INVERTER                   	1	1	2
2423	    	06/28/1991	PHASE ADAPTER                 	1	1	1
2424	    	06/28/1991	AC REGULATOR                  	1	1	1
2425	    	06/28/1991	AC INDICATING SYSTEMS         	1	1	1
2430	    	06/28/1991	DC GENERATION SYSTEM          	1	1	2
2431	    	06/28/1991	BATTERY OVERHEAT WARNING SYS  	1	1	1
2432	    	06/28/1991	BATTERY/CHARGER               	1	1	2
2433	    	06/28/1991	DC RECTIFIER-CONVERTER        	1	1	2
2434	    	06/28/1991	DC GENERATOR-ALTERNATOR       	1	1	2
2435	    	06/28/1991	STARTER-GENERATOR             	1	1	2
2436	    	06/28/1991	DC REGULATOR                  	1	1	2
2437	    	06/28/1991	DC INDICATING SYSTEM          	1	1	2
2440	    	06/28/1991	EXTERNAL POWER SYSTEM         	1	1	1
2450	    	06/28/1991	AC POWER DISTRIBUTION SYSTEM  	1	1	2
2460	    	06/28/1991	DC POWER DISTRIBUTION SYSTEM  	1	1	2
2497	    	04/19/2001	ELE PWR SYS WIRING            	1	1	2
2500	    	06/28/1991	EQUIPMENT/FURNISHINGS         	1	1	2
2510	    	06/28/1991	FLIGHT COMPARTMENT EQUIPMENT  	1	1	2
2520	    	06/28/1991	PASSENGER COMPARTMENT EQUIP   	1	1	1
2530	    	06/28/1991	BUFFET/GALLEYS                	1	1	1
2540	    	06/28/1991	LAVATORIES                    	1	1	1
2550	    	06/28/1991	CARGO COMPARTMENTS            	1	1	1
2551	    	06/28/1991	AGRICULTURAL/EXTERNAL LOAD SYS	1	1	2
2560	    	06/28/1991	EMERGENCY EQUIPMENT           	1	1	2
2561	    	06/28/1991	LIFE JACKET                   	4	5	2
2562	    	06/28/1991	EMERGENCY LOCATOR BEACON      	4	5	2
2563	    	06/28/1991	PARACHUTE                     	4	5	2
2564	    	06/28/1991	LIFE RAFT                     	4	5	2
2565	    	06/28/1991	ESCAPE SLIDE                  	4	5	2
2570	    	06/28/1991	ACCESSORY COMPARTMENTS        	1	1	1
2571	    	06/28/1991	BATTERY BOX STRUCTURE         	1	1	1
2572	    	06/28/1991	ELECTRONIC SHELF SECTION      	1	1	1
2597	    	04/19/2001	EQU/FUR SYS WIRING            	1	1	1
2600	    	06/28/1991	FIRE PROTECTION SYSTEM        	1	1	1
2610	    	06/28/1991	DETECTION SYSTEM              	1	1	1
2611	    	06/28/1991	SMOKE, DETECTION              	1	1	1
2612	    	06/28/1991	FIRE, DETECTION               	1	1	1
2613	    	06/28/1991	OVERHEAT, DETECTION           	1	1	1
2620	    	06/28/1991	EXTINGUISHING SYSTEM          	1	1	2
2621	    	06/28/1991	FIRE BOTTLE, FIXED            	1	1	1
2622	    	06/28/1991	FIRE BOTTLE, PORTABLE         	1	5	1
2697	    	04/19/2001	FIRE PROT SYS WIRING          	1	1	1
2700	    	06/28/1991	FLIGHT CONTROL SYSTEM         	1	1	1
2701	    	06/28/1991	CONTROL COLUMN SECTION        	1	1	1
2710	    	06/28/1991	AILERON CONTROL SYSTEM        	1	1	3
2711	    	06/28/1991	AILERON TAB CONTROL SYSTEM    	1	1	3
2720	    	06/28/1991	RUDDER CONTROL SYSTEM         	1	1	2
2721	    	06/28/1991	RUDDER TAB CONTROL SYSTEM     	1	1	2
2722	    	06/28/1991	RUDDER ACTUATOR               	1	1	2
2730	    	06/28/1991	ELEVATOR CONTROL SYSTEM       	1	1	2
2731	    	06/28/1991	ELEVATOR TAB CONTROL SYSTEM   	1	1	2
2740	    	06/28/1991	STABILIZER CONTROL SYSTEM     	1	1	1
2741	    	06/28/1991	STABILIZER POSITION IND SYSTEM	1	1	1
2742	    	06/28/1991	STABILIZER ACTUATOR           	1	1	1
2750	    	06/28/1991	TE FLAP CONTROL SYSTEM        	1	1	2
2751	    	06/28/1991	TE FLAP POSITION IND SYSTEM   	1	1	1
2752	    	06/28/1991	TE FLAP ACTUATOR              	1	1	2
2760	    	06/28/1991	DRAG CONTROL SYSTEM           	1	1	1
2761	    	06/28/1991	DRAG CONTROL ACTUATOR         	1	1	1
2770	    	06/28/1991	GUST LOCK-DAMPER SYSTEM       	1	1	3
2780	    	06/28/1991	LE FLAP CONTROL SYSTEM        	1	1	1
2781	    	06/28/1991	LE FLAP POSITION IND SYSTEM   	1	1	1
2782	    	06/28/1991	LE FLAP ACTUATOR              	1	1	1
2797	    	04/19/2001	FLT CNTL SYS WIRING           	1	1	2
2800	    	06/28/1991	FUEL SYSTEM                   	1	1	1
2810	    	06/28/1991	FUEL STORAGE                  	1	1	5
2820	    	06/28/1991	FUEL DISTRIBUTION             	1	1	4
2821	    	06/28/1991	FUEL FILTER-STRAINER          	1	1	4
2822	    	06/28/1991	FUEL PUMPS                    	1	1	4
2823	    	06/28/1991	FUEL SELECTOR/SHUTOFF VALVE   	1	1	4
2824	    	06/28/1991	FUEL TRANSFER VALVE           	1	1	4
2830	    	06/28/1991	FUEL DUMP                     	1	1	1
2840	    	06/28/1991	FUEL INDICATION SYSTEM        	1	1	2
2841	    	06/28/1991	FUEL QUANTITY INDICATOR       	1	1	2
2842	    	06/28/1991	FUEL QUANTITY SENSOR          	1	1	2
2843	    	06/28/1991	FUEL TEMPERATURE              	1	1	2
2844	    	06/28/1991	FUEL PRESSURE                 	1	1	2
2897	    	04/19/2001	FUEL SYS WIRING               	1	1	2
2900	    	06/28/1991	HYDRAULIC POWER SYSTEM        	1	1	2
2910	    	06/28/1991	HYDRAULIC, MAIN SYSTEM        	1	1	2
2911	    	06/28/1991	ACCUMULATOR, MAIN             	1	1	2
2912	    	06/28/1991	FILTER, MAIN                  	1	1	2
2913	    	06/28/1991	PUMP, MAIN                    	1	1	2
2914	    	06/28/1991	HANDPUMP, MAIN                	1	1	2
2915	    	06/28/1991	PRESSURE RELIEF, MAIN         	1	1	2
2916	    	06/28/1991	RESERVOIR, MAIN               	1	1	2
2917	    	06/28/1991	PRESSURE REGULATOR, MAIN      	1	1	2
2920	    	06/28/1991	HYDRAULIC, AUXILIARY SYSTEM   	1	1	2
2921	    	06/28/1991	ACCUMULATOR, AUXILIARY        	1	1	2
2922	    	06/28/1991	FILTER, AUXILIARY             	1	1	2
2923	    	06/28/1991	PUMP, AUXILIARY               	1	1	2
2924	    	06/28/1991	HANDPUMP, AUXILIARY           	1	1	2
2925	    	06/28/1991	PRESSURE RELIEF, AUXILIARY    	1	1	2
2926	    	06/28/1991	RESERVOIR, AUXILIARY          	1	1	2
2927	    	06/28/1991	PRESSURE REGULATOR, AUXILIARY 	1	1	2
2930	    	06/28/1991	HYDRAULIC, INDICATING SYSTEM  	1	1	1
2931	    	06/28/1991	PRESSURE INDICATOR            	1	1	1
2932	    	06/28/1991	PRESSURE SENSOR               	1	1	1
2933	    	06/28/1991	QUANTITY INDICATOR            	1	1	1
2934	    	06/28/1991	QUANTITY SENSOR               	1	1	1
2997	    	04/19/2001	HYD PWR SYS WIRING            	1	1	2
3000	    	06/28/1991	ICE/RAIN PROTECTION SYSTEM    	1	1	1
3010	    	06/28/1991	AIRFOIL ANTI-ICE, DEICE       	1	1	1
3020	    	06/28/1991	INTAKE ANTI-ICE, DEICE        	1	1	1
3030	    	06/28/1991	PITOT/STATIC ANTI-ICE         	1	1	2
3040	    	06/28/1991	WINDOWS/WINDSHIELDS & DOORS   	1	1	1
3050	    	06/28/1991	ANTENNA/RADOME ANTI-ICE       	1	1	1
3060	    	06/28/1991	PROP/ROTOR ANTI-ICE, DEICE    	1	1	1
3070	    	06/28/1991	WATER LINE ANTI-ICE           	1	1	1
3080	    	06/28/1991	ICE DETECTION                 	1	1	1
3097	    	04/19/2001	ICE/RAIN PROT SYS WIRING      	1	1	1
3100	    	06/28/1991	INDICATING/RECORDING SYSTEMS  	4	5	1
3110	    	06/28/1991	INSTRUMENT PANEL              	1	1	1
3120	    	06/28/1991	INDEP INSTRUMENT (CLOCK, ETC) 	4	5	1
3130	    	06/28/1991	DATA RECORDERS (FLIGHT/MAINT) 	4	1	1
3140	    	06/28/1991	CENTRAL COMPUTERS (e.g. EICAS)	4	1	1
3150	    	06/28/1991	CENTRAL WARNING               	1	1	1
3160	    	06/28/1991	CENTRAL DISPLAY               	4	1	1
3170	    	06/28/1991	AUTOMATIC DATA                	4	1	1
3197	    	04/19/2001	INSTRUMENT WIRING             	4	1	1
3200	    	06/28/1991	LANDING GEAR SYSTEM           	1	1	1
3201	    	06/28/1991	LANDING GEAR/WHEEL FAIRING    	1	1	1
3210	    	06/28/1991	MAIN LANDING GEAR             	1	1	4
3211	    	06/28/1991	MAIN LANDING GEAR ATTACH SEC  	1	1	4
3212	    	06/28/1991	EMERGENCY FLOATATION SECTION  	1	1	2
3213	    	06/28/1991	MAIN GEAR STRUT/AXLE/TRUCK    	1	1	4
3220	    	06/28/1991	NOSE/TAIL LANDING GEAR        	1	1	1
3221	    	06/28/1991	NOSE/TAIL GEAR ATTACH SECTION 	1	1	2
3222	    	06/28/1991	NOSE/TAIL GEAR STRUT/AXLE     	1	1	2
3230	    	06/28/1991	GEAR EXTENSION AND RETRACT SYS	1	1	5
3231	    	06/28/1991	LANDING GEAR DOOR RETRACT SEC 	1	1	2
3232	    	06/28/1991	LANDING GEAR DOOR ACTUATOR    	1	1	2
3233	    	06/28/1991	LANDING GEAR ACTUATOR         	1	1	5
3234	    	06/28/1991	LANDING GEAR SELECTOR         	1	1	5
3240	    	06/28/1991	LANDING GEAR BRAKES SYSTEM    	1	1	5
3241	    	06/28/1991	ANTI-SKID SECTION             	1	1	1
3242	    	06/28/1991	BRAKE                         	1	1	5
3243	    	06/28/1991	MASTER CYLINDER/BRAKE VALVE   	1	1	5
3244	    	06/28/1991	TIRE CASING                   	1	5	5
3245	    	06/28/1991	TUBE                          	1	5	5
3246	    	06/28/1991	WHEEL/SKI/FLOAT               	1	5	5
3250	    	06/28/1991	LANDING GEAR STEERING SYSTEM  	1	1	3
3251	    	06/28/1991	STEERING UNIT                 	1	1	3
3252	    	06/28/1991	SHIMMY DAMPER                 	1	1	3
3260	    	06/28/1991	LG POSITION AND WARNING       	1	1	2
3270	    	06/28/1991	AUX GEAR (TAIL/ROTORCRFT SKID)	1	1	1
3297	    	04/19/2001	LAND GEAR SYS WIRING          	1	1	5
3300	    	06/28/1991	LIGHTING SYSTEM               	1	1	1
3310	    	06/28/1991	FLIGHT COMPARTMENT LIGHTING   	1	1	1
3320	    	06/28/1991	PASSENGER COMPARTMENT LIGHTING	1	1	1
3330	    	06/28/1991	CARGO COMPARTMENT LIGHTING    	1	1	1
3340	    	06/28/1991	EXTERIOR LIGHTING             	1	1	2
3350	    	06/28/1991	EMERGENCY LIGHTING            	1	1	1
3397	    	04/19/2001	LIGHT WIRING                  	1	1	1
3400	    	06/28/1991	NAVIGATION SYSTEM             	4	5	1
3410	    	06/28/1991	FLIGHT ENVIRONMENT DATA       	4	5	2
3411	    	06/28/1991	PITOT/STATIC SYSTEM           	1	1	2
3412	    	06/28/1991	AIR TEMPERATURE/THRUST LIMIT  	1	5	2
3413	    	06/28/1991	RATE OF CLIMB                 	4	5	2
3414	    	06/28/1991	AIRSPEED/MACH INDICATING      	4	5	2
3415	    	06/28/1991	HIGH SPEED WARNING            	4	5	2
3416	    	03/04/1993	ALTIMETER, BAROMETRIC/ENCODER 	4	5	2
3417	    	06/28/1991	AIR DATA COMPUTER             	4	5	2
3418	    	03/04/1993	STALL WARNING SYSTEM          	4	1	2
3420	    	06/28/1991	ATTITUDE & DIRECTION          	4	5	1
